README,Diagram Number,Diagram Type,Has Error,Error Description,Severity,Validation Status
README.md,1,graph,No,"—",—,✅ Valid
README.md,2,graph,No,"—",—,✅ Valid
README.md,3,graph,No,"—",—,✅ Valid
README.md,4,sequenceDiagram,No,"—",—,✅ Valid
README.md,5,graph,No,"—",—,✅ Valid
README.md,6,stateDiagram,No,"—",—,✅ Valid
README.md,7,graph,No,"—",—,✅ Valid
profile/README.md,1,graph,No,"—",—,✅ Valid
profile/README.md,2,graph,No,"—",—,✅ Valid
profile/README.md,3,graph,No,"—",—,✅ Valid
profile/README.md,4,stateDiagram,No,"—",—,✅ Valid
scripts/README.md,1,graph,No,"—",—,✅ Valid
scripts/README.md,2,sequenceDiagram,No,"—",—,✅ Valid
scripts/README.md,3,graph,No,"—",—,✅ Valid
tests/README.md,1,graph,No,"—",—,✅ Valid
tests/README.md,2,sequenceDiagram,No,"—",—,✅ Valid
tests/README.md,3,graph,No,"—",—,✅ Valid
.github/README.md,1,graph,No,"—",—,✅ Valid
.github/README.md,2,sequenceDiagram,No,"—",—,✅ Valid
.github/README.md,3,graph,No,"—",—,✅ Valid
.github/README.md,4,graph,No,"—",—,✅ Valid
.github/ISSUE_TEMPLATE/README.md,1,graph,No,"—",—,✅ Valid
.github/projects/README.md,1,graph,No,"—",—,✅ Valid
.vscode/README.md,1,graph,No,"—",—,✅ Valid
