Family,Label,In_Canonical,In_Issue_Types,In_Policy,Status,Target_Label
status,status:needs-planning,YES,NO,NO,OK,status:needs-planning
status,status:needs-triage,YES,NO,NO,OK,status:needs-triage
status,status:ready,YES,NO,NO,OK,status:ready
status,status:in-progress,YES,NO,NO,OK,status:in-progress
status,status:on-hold,YES,NO,NO,OK,status:on-hold
status,status:needs-design,YES,NO,NO,OK,status:needs-design
status,status:needs-design-review,YES,NO,NO,OK,status:needs-design-review
status,status:needs-figma-update,YES,NO,NO,OK,status:needs-figma-update
status,status:needs-dev,YES,NO,NO,OK,status:needs-dev
status,status:needs-review,YES,NO,NO,OK,status:needs-review
status,status:needs-qa,YES,NO,NO,OK,status:needs-qa
status,status:needs-testing,YES,NO,NO,OK,status:needs-testing
status,status:needs-documentation,YES,NO,NO,OK,status:needs-documentation
status,status:in-discussion,YES,NO,NO,OK,status:in-discussion
status,status:needs-more-info,YES,NO,NO,OK,status:needs-more-info
status,status:blocked,YES,NO,NO,OK,status:blocked
status,status:duplicate,YES,NO,NO,OK,status:duplicate
status,status:wontfix,YES,NO,NO,OK,status:wontfix
status,status:done,YES,NO,NO,OK,status:done
status,status:completed,YES,NO,NO,OK,status:completed
status,status:needs-audit,YES,NO,NO,OK,status:needs-audit
priority,priority:critical,YES,NO,NO,OK,priority:critical
priority,priority:important,YES,NO,NO,OK,priority:important
priority,priority:normal,YES,NO,NO,OK,priority:normal
priority,priority:minor,YES,NO,NO,OK,priority:minor
priority,priority:high,YES,NO,NO,OK,priority:high
priority,priority:low,YES,NO,NO,OK,priority:low
type,type:task,YES,YES,YES,OK,type:task
type,type:bug,YES,YES,YES,OK,type:bug
type,type:feature,YES,YES,YES,OK,type:feature
type,type:design,YES,YES,YES,OK,type:design
type,type:epic,YES,YES,YES,OK,type:epic
type,type:question,YES,YES,YES,OK,type:question
type,type:improve,YES,YES,YES,OK,type:improve
type,type:chore,YES,YES,YES,OK,type:chore
type,type:ci,YES,YES,YES,OK,type:ci
type,type:automation,YES,YES,YES,OK,type:automation
type,type:test,YES,YES,YES,OK,type:test
type,type:decision,YES,NO,NO,TYPE_UNMAPPED,type:decision
type,type:performance,YES,YES,YES,OK,type:performance
type,type:a11y,YES,YES,YES,OK,type:a11y
type,type:security,YES,YES,YES,OK,type:security
type,type:compat,YES,YES,NO,OK,type:compat
type,type:refactor,YES,YES,YES,OK,type:refactor
type,type:release,YES,YES,YES,OK,type:release
type,type:dependency,YES,YES,YES,OK,type:dependency
type,type:docs,YES,YES,NO,OK,type:docs
type,type:research,YES,YES,YES,OK,type:research
type,type:audit,YES,YES,YES,OK,type:audit
type,type:review,YES,YES,YES,OK,type:review
type,type:aiops,YES,YES,NO,OK,type:aiops
type,type:content-modelling,YES,YES,YES,OK,type:content-modelling
type,type:build,YES,YES,YES,OK,type:build
meta,meta:needs-changelog,YES,NO,NO,OK,meta:needs-changelog
meta,meta:no-changelog,YES,NO,NO,OK,meta:no-changelog
meta,meta:has-pr,YES,NO,NO,OK,meta:has-pr
meta,meta:no-issue-activity,YES,NO,NO,OK,meta:no-issue-activity
meta,meta:no-pr-activity,YES,NO,NO,OK,meta:no-pr-activity
meta,meta:stale,YES,NO,NO,OK,meta:stale
release,release:patch,YES,NO,NO,OK,release:patch
release,release:minor,YES,NO,NO,OK,release:minor
release,release:major,YES,NO,NO,OK,release:major
release,release:hotfix,YES,NO,NO,OK,release:hotfix
area,area:core,YES,NO,NO,OK,area:core
area,area:governance,YES,NO,NO,OK,area:governance
area,area:qa,YES,NO,NO,OK,area:qa
area,area:operations,YES,NO,NO,OK,area:operations
area,area:block-editor,YES,NO,YES,OK,area:block-editor
area,area:theme,YES,NO,YES,OK,area:theme
area,area:documentation,YES,NO,YES,OK,area:documentation
area,area:tests,YES,NO,YES,OK,area:tests
area,area:scripts,YES,NO,YES,OK,area:scripts
area,area:assets,YES,NO,YES,OK,area:assets
area,area:woocommerce,YES,NO,YES,OK,area:woocommerce
area,area:content,YES,NO,NO,OK,area:content
area,area:design-system,YES,NO,NO,OK,area:design-system
area,area:navigation,YES,NO,NO,OK,area:navigation
area,area:forms,YES,NO,NO,OK,area:forms
area,area:plugins,YES,NO,NO,OK,area:plugins
area,area:search,YES,NO,NO,OK,area:search
area,area:seo,YES,NO,NO,OK,area:seo
area,area:analytics,YES,NO,NO,OK,area:analytics
area,area:infrastructure,YES,NO,NO,OK,area:infrastructure
area,area:i18n,YES,NO,NO,OK,area:i18n
area,area:ci,YES,NO,YES,OK,area:ci
area,area:deployment,YES,NO,NO,OK,area:deployment
area,area:dependencies,YES,NO,YES,OK,area:dependencies
area,area:integration,YES,NO,NO,OK,area:integration
area,area:automation,YES,NO,NO,OK,area:automation
area,area:testing,YES,NO,YES,OK,area:testing
area,area:performance,YES,NO,YES,OK,area:performance
area,area:a11y,YES,NO,YES,OK,area:a11y
area,area:security,YES,NO,YES,OK,area:security
area,area:compatibility,YES,NO,NO,OK,area:compatibility
area,area:release,YES,NO,NO,OK,area:release
area,area:maintenance,YES,NO,NO,OK,area:maintenance
area,area:ai,YES,NO,NO,OK,area:ai
area,area:agents,YES,NO,NO,OK,area:agents
area,area:skills,YES,NO,NO,OK,area:skills
area,area:instructions,YES,NO,NO,OK,area:instructions
area,area:prompts,YES,NO,NO,OK,area:prompts
area,area:playwright,YES,NO,YES,OK,area:playwright
area,area:jest,YES,NO,YES,OK,area:jest
area,area:phpunit,YES,NO,YES,OK,area:phpunit
area,area:pagespeed,YES,NO,YES,OK,area:pagespeed
comp,comp:block-editor,YES,NO,NO,OK,comp:block-editor
comp,comp:block-inserter,YES,NO,NO,OK,comp:block-inserter
comp,comp:block-variations,YES,NO,NO,OK,comp:block-variations
comp,comp:block-supports,YES,NO,NO,OK,comp:block-supports
comp,comp:block-locking,YES,NO,NO,OK,comp:block-locking
comp,comp:block-bindings,YES,NO,NO,OK,comp:block-bindings
comp,comp:block-templates,YES,NO,NO,OK,comp:block-templates
comp,comp:block-patterns,YES,NO,NO,OK,comp:block-patterns
comp,comp:template-parts,YES,NO,NO,OK,comp:template-parts
comp,comp:block-json,YES,NO,NO,OK,comp:block-json
comp,comp:theme-json,YES,NO,NO,OK,comp:theme-json
comp,comp:wp-admin,YES,NO,NO,OK,comp:wp-admin
comp,comp:settings,YES,NO,NO,OK,comp:settings
comp,comp:post-settings,YES,NO,NO,OK,comp:post-settings
comp,comp:style-variations,YES,NO,NO,OK,comp:style-variations
comp,comp:block-styles,YES,NO,NO,OK,comp:block-styles
comp,comp:color-palette,YES,NO,NO,OK,comp:color-palette
comp,comp:typography,YES,NO,NO,OK,comp:typography
comp,comp:section-styles,YES,NO,NO,OK,comp:section-styles
comp,comp:spacing,YES,NO,NO,OK,comp:spacing
lang,lang:php,YES,NO,YES,OK,lang:php
lang,lang:js,YES,NO,YES,OK,lang:js
lang,lang:css,YES,NO,YES,OK,lang:css
lang,lang:html,YES,NO,NO,OK,lang:html
lang,lang:md,YES,NO,YES,OK,lang:md
lang,lang:json,YES,NO,YES,OK,lang:json
lang,lang:yaml,YES,NO,YES,OK,lang:yaml
env,env:prototype,YES,NO,NO,OK,env:prototype
env,env:staging,YES,NO,NO,OK,env:staging
env,env:live,YES,NO,NO,OK,env:live
compat,compat:wordpress,YES,NO,NO,OK,compat:wordpress
compat,compat:php,YES,NO,NO,OK,compat:php
compat,compat:woocommerce,YES,NO,NO,OK,compat:woocommerce
compat,compat:gutenberg,YES,NO,NO,OK,compat:gutenberg
compat,compat:rtl,YES,NO,NO,OK,compat:rtl
compat,compat:multisite,YES,NO,NO,OK,compat:multisite
cpt,cpt:posts,YES,NO,NO,OK,cpt:posts
cpt,cpt:pages,YES,NO,NO,OK,cpt:pages
ai-ops,ai-ops:instructions,YES,NO,NO,OK,aiops:instructions
ai-ops,ai-ops:chat-modes,YES,NO,NO,OK,aiops:chat-modes
ai-ops,ai-ops:agents,YES,NO,NO,OK,aiops:agents
ai-ops,ai-ops:prompts,YES,NO,NO,OK,aiops:prompts
ai-ops,ai-ops:datasets,YES,NO,NO,OK,aiops:datasets
ai-ops,ai-ops:evaluations,YES,NO,NO,OK,aiops:evaluations
ai-ops,ai-ops:tools,YES,NO,NO,OK,aiops:tools
contrib,contrib:good-first-issue,YES,NO,NO,OK,contrib:good-first-issue
contrib,contrib:help-wanted,YES,NO,NO,OK,contrib:help-wanted
contrib,contrib:discussion,YES,NO,NO,OK,contrib:discussion
discussion,discussion:announcement,YES,NO,NO,OK,discussion:announcement
discussion,discussion:showcase,YES,NO,NO,OK,discussion:showcase
discussion,discussion:community,YES,NO,NO,OK,discussion:community
discussion,discussion:feedback,YES,NO,NO,OK,discussion:feedback
discussion,discussion:support,YES,NO,NO,OK,discussion:support
discussion,discussion:sponsorship,YES,NO,NO,OK,discussion:sponsorship
discussion,discussion:partnership,YES,NO,NO,OK,discussion:partnership
openspec,openspec:discovery,YES,NO,NO,OK,spec:discovery
openspec,openspec:planning,YES,NO,NO,OK,spec:planning
openspec,openspec:specification-in-progress,YES,NO,NO,OK,spec:specification-in-progress
openspec,openspec:specification-complete,YES,NO,NO,OK,spec:specification-complete
